,mean,std
insulin,70.42412912912913,48.34819951464701
glucose,5.40933933933934,1.079335293434388
TC,4.769744744744744,0.9824233170301492
HDL-C,1.4055855855855857,0.3286852863699906
TG,1.5822822822822822,0.9766428079560239
LDL-C,2.180990990990991,0.579715442181488
age,45.107507507507506,13.125322049036397
sex_f,0.0,1.0
sex_m,0.0,1.0
